Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
BCP Ltd,Mining,Energy/Mining/Utilities,Peru,South America,"1,726",0.00%,"1,726",0.00%,400,,366,960,,,3,575,0,"1,726",0.00%
BDO LLP,Professional Services/Accounting and Consulting,Consulting Services,United Kingdom,Europe,"54,549",0.07%,"54,549",0.08%,,,"54,549",,,,1,"54,549",0,"54,549",0.00%
Bea Crystal,Jewelry,Retail,United States,North America,40,0.00%,40,0.00%,,,40,,,,1,40,0,40,0.00%
Beacon,Software,Technology/Telecommunications,United States,North America,23,0.00%,23,0.00%,,,,,23,,1,23,23,0,100.00%
BearingPoint,Management consulting,Consulting Services,Germany,Europe,"5,502",0.01%,"5,502",0.01%,,,,,,"5,502",0,"5,502","5,502",0,100.00%
Beauvoir,Consulting,Consulting Services,France,Europe,160,0.00%,160,0.00%,,,,,,160,0,160,160,0,100.00%
BEaZERO,Beverage,Food and Beverage,United States,North America,53,0.00%,53,0.00%,29,24,,,,,2,27,0,53,0.00%
BEC,Consulting,Consulting Services,Belgium,Europe,36,0.00%,36,0.00%,,,,,,36,0,36,36,0,100.00%
BEF Group,Business/Consulting Services,Consulting Services,Belgium,Europe,"4,176",0.01%,"3,767",0.01%,718,759,"1,193","1,097",,,4,942,0,"4,176",0.00%
Beheer,Management Consulting,Consulting Services,Netherlands,Europe,32,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,32,0.00%
Beiersdorf AG,Consumer Goods,Retail,Germany,Europe,"247,715",0.33%,"247,715",0.38%,,,,"65,252",,"182,463",1,"123,858","182,463","65,252",73.66%
Beigang,Religious Institutions,Non-profit/Charity/Government/NGO,Taiwan,Asia,"1,106",0.00%,"1,106",0.00%,,,,,,"1,106",0,"1,106","1,106",0,100.00%
BeiHuaHaoShen,Technology,Technology/Telecommunications,China,Asia,"126,929",0.17%,"126,929",0.19%,,,,,,"126,929",0,"126,929","126,929",0,100.00%
Belconnen Arts Centre,Arts and Culture,Entertainment/Media/Sports,Australia,Oceania,37,0.00%,37,0.00%,,,,,37,,1,37,37,0,100.00%
Belfius Bank,Banking/Financial Services,Financial Services,Belgium,Europe,"4,894",0.01%,"4,894",0.01%,,,,,"4,894",,1,"4,894","4,894",0,100.00%
Belgian Development Cooperation,Government,Financial Services,Belgium,Europe,20,0.00%,20,0.00%,,,,20,,,1,20,0,20,0.00%
Belgian Technical Cooperation,Government/Non-profit sector,Non-profit/Charity/Government/NGO,Belgium,Europe,"1,322",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"1,322",0.00%
Bell Gully,Law Practice,Consulting Services,New Zealand,Oceania,180,0.00%,180,0.00%,,,,,,180,0,180,180,0,100.00%
Bellrock,Construction or real estate industry,Construction/Engineering,United Kingdom,Europe,500,0.00%,500,0.00%,,,,500,,,1,500,0,500,0.00%
Belron,Automotive Services,Transportation/Logistics,United Kingdom,Europe,845,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,845,0.00%
Bence Mulcahy,Financial Services,Financial Services,United Kingdom,Europe,21,0.00%,21,0.00%,,,,,21,,1,21,21,0,100.00%
Bending Spoons,Technology,Technology/Telecommunications,Italy,Europe,"18,161",0.02%,"18,161",0.03%,,,,,,"18,161",0,"18,161","18,161",0,100.00%
Benessere,Wellness and Beauty,Healthcare/Pharmaceuticals,Sweden,Europe,20,0.00%,20,0.00%,20,,,,,,1,20,0,20,0.00%
Bentley,Automotive,Transportation/Logistics,United Kingdom,Europe,"6,356",0.01%,"6,356",0.01%,,,"2,254",,"1,079","3,023",2,"2,119","4,102","2,254",64.54%
BeRebel,Fashion/Apparel,Apparel/Fashion,Italy,Europe,200,0.00%,200,0.00%,,,,200,,,1,200,0,200,0.00%
Berendsen,Industrial Services,Construction/Engineering,Denmark,Europe,205,0.00%,205,0.00%,,,205,,,,1,205,0,205,0.00%
Bergkramerhof,Leisure and Recreation,Others,Austria,Europe,100,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,100,0.00%
Bergmark,Sustainability Consulting,Environmental & Sustainability Services,Sweden,Europe,40,0.00%,40,0.00%,40,,,,,,1,40,0,40,0.00%
Berkeley Square,Financial Services,Financial Services,United Kingdom,Europe,190,0.00%,190,0.00%,,,,,,190,0,190,190,0,100.00%
Bertegruppen AB,Retail,Retail,Sweden,Europe,45,0.00%,45,0.00%,,33,12,,,,2,23,0,45,0.00%
Bertrand Cliquet,Fashion,Apparel/Fashion,France,Europe,30,0.00%,30,0.00%,,30,,,,,1,30,0,30,0.00%
Beskow,Law firm,Consulting Services,Sweden,Europe,48,0.00%,48,0.00%,,31,17,,,,2,24,0,48,0.00%
BETESCO,Construction,Construction/Engineering,Belgium,Europe,13,0.00%,13,0.00%,,,13,,,,1,13,0,13,0.00%
Better Places,Travel and Tourism,Travel & Tourism,Denmark,Europe,"23,511",0.03%,"8,511",0.01%,,,,"5,511","3,000",,2,"4,256","3,000","20,511",12.76%
Bevan Brittan,Law firm,Consulting Services,United Kingdom,Europe,164,0.00%,164,0.00%,,,,164,,,1,164,0,164,0.00%
BEW,Energy,Energy/Mining/Utilities,United Kingdom,Europe,537,0.00%,320,0.00%,120,200,,,,,2,160,0,537,0.00%
Beyond Neutral,Environmental sustainability or renewable energy sector,Energy/Mining/Utilities,Australia,Oceania,389,0.00%,389,0.00%,,,200,12,,177,2,130,177,212,45.50%
Beyondly,Technology,Technology/Telecommunications,United States,North America,15,0.00%,15,0.00%,,,,,,15,0,15,15,0,100.00%
BeZero Carbon,Climate Technology,Technology/Telecommunications,United Kingdom,Europe,72,0.00%,72,0.00%,,,72,,,,1,72,0,72,0.00%
BGC Engineering,Engineering Consulting,Consulting Services,Canada,North America,86,0.00%,86,0.00%,,,,,36,50,1,43,86,0,100.00%
BGMG Cosmetics,Fashion/Apparel,Apparel/Fashion,South Korea,Asia,"7,266",0.01%,"7,266",0.01%,,,,,"7,266",,1,"7,266","7,266",0,100.00%
BGN,Financial Services,Financial Services,Bulgaria,Europe,"13,973",0.02%,"13,973",0.02%,,,,,,"13,973",0,"13,973","13,973",0,100.00%
BHP Billiton,Mining and Resources,Agriculture/Agribusiness/Resources,Australia,Oceania,"200,000",0.27%,"200,000",0.31%,,,"200,000",,,,1,"200,000",0,"200,000",0.00%
BI Holding,Financial Services,Financial Services,Denmark,Europe,85,0.00%,85,0.00%,,,31,54,,,2,43,0,85,0.00%
BidX1 Technology Limited,Real Estate or Property Auctions,Construction/Engineering,Ireland,Europe,288,0.00%,288,0.00%,,,288,,,,1,288,0,288,0.00%
Big Lots,Retail,Retail,United States,North America,"1,500",0.00%,"1,500",0.00%,,,"1,500",,,,1,"1,500",0,"1,500",0.00%
Big Sky,Hospitality/Tourism/Travel,Travel & Tourism,United States,North America,149,0.00%,149,0.00%,,,10,,139,,2,75,139,10,93.29%
Big Springs,Beverage industry,Food and Beverage,United States,North America,600,0.00%,600,0.00%,,,600,,,,1,600,0,600,0.00%
bigHead Bonding Fasteners Ltd,Manufacturing,Manufacturing/Engineering,United Kingdom,Europe,69,0.00%,69,0.00%,,40,,,14,15,2,23,29,40,42.03%
Bilger,Automotive,Transportation/Logistics,Germany,Europe,13,0.00%,13,0.00%,13,,,,,,1,13,0,13,0.00%
Bilkompani,Automotive,Transportation/Logistics,Sweden,Europe,"1,464",0.00%,"1,464",0.00%,,,,"1,464",,,1,"1,464",0,"1,464",0.00%
Billogram,"Invoice financing, Accounts Receivable Management",Financial Services,Sweden,Europe,120,0.00%,120,0.00%,80,,40,,,,2,60,0,120,0.00%
Bio Fachmarkt,Grocery Retail,Retail,Germany,Europe,141,0.00%,141,0.00%,,,84,57,,,2,71,0,141,0.00%
Bio Hotel,Hospitality,Travel & Tourism,Austria,Europe,168,0.00%,168,0.00%,68,,,100,,,2,84,0,168,0.00%
bio verlag GmbH,Publishing/ Media,Entertainment/Media/Sports,Germany,Europe,"6,708",0.01%,"2,141",0.00%,500,"1,641",,,,,2,"1,071",0,"6,708",0.00%
Bio-D,Biotechnology,Healthcare/Pharmaceuticals,United States,North America,60,0.00%,60,0.00%,,,60,,,,1,60,0,60,0.00%
Bio-Rad,Scientific Research & Equipment,Others,United States,North America,142,0.00%,142,0.00%,,,,61,81,,2,71,81,61,57.04%
BioCarbon,Agriculture/Environmental Science,Agriculture/Agribusiness/Resources,United States,North America,"4,878",0.01%,0,0.00%,0,0,0,0,0,0,5,0,0,"4,878",0.00%
BioEinfach,Organic food and beverage,Food and Beverage,Germany,Europe,20,0.00%,20,0.00%,,20,,,,,1,20,0,20,0.00%
Biohotel,Hospitality/Travel & Tourism,Travel & Tourism,Germany,Europe,100,0.00%,100,0.00%,,,,100,,,1,100,0,100,0.00%
Biohotel Daberer GmbH,Hospitality/Travel/Tourism,Travel & Tourism,Austria,Europe,196,0.00%,196,0.00%,,,196,,,,1,196,0,196,0.00%
Bioladen,Grocery Store,Retail,Germany,Europe,28,0.00%,28,0.00%,,28,,,,,1,28,0,28,0.00%
BioLite,Outdoor and camping equipment,Retail,United States,North America,"15,266",0.02%,"7,717",0.01%,"1,750",,"5,967",,,,2,"3,859",0,"15,266",0.00%
Biolove,Food and Beverage,Food and Beverage,Germany,Europe,210,0.00%,210,0.00%,,,148,62,,,2,105,0,210,0.00%
BioMare GmbH,Healthcare/Pharmaceuticals,Healthcare/Pharmaceuticals,Germany,Europe,592,0.00%,592,0.00%,,592,,,,,1,592,0,592,0.00%
Biomass Research,Energy,Energy/Mining/Utilities,United States,North America,10,0.00%,10,0.00%,,,,,,10,0,10,10,0,100.00%
BIONORICA,Healthcare/Pharmaceuticals,Healthcare/Pharmaceuticals,Germany,Europe,"25,000",0.03%,"25,000",0.04%,,"15,000","10,000",,,,2,"12,500",0,"25,000",0.00%
BiP GmbH,Technology/Software,Technology/Telecommunications,Germany,Europe,150,0.00%,150,0.00%,,,,150,,,1,150,0,150,0.00%
Birkenspanner,Outdoor apparel and footwear,Apparel/Fashion,Germany,Europe,10,0.00%,10,0.00%,,,,10,,,1,10,0,10,0.00%
Birwelco,Industrial Equipment,Manufacturing/Engineering,United States,North America,100,0.00%,100,0.00%,,,,50,50,,2,50,50,50,50.00%
Bischoff & Ditze,Environmental consulting,Consulting Services,Germany,Europe,24,0.00%,24,0.00%,11,,,,13,,2,12,13,11,54.17%
Bitling,Software,Technology/Telecommunications,Sweden,Europe,96,0.00%,96,0.00%,72,24,,,,,2,48,0,96,0.00%
Bivo,Food and Beverage,Food and Beverage,United States,North America,235,0.00%,235,0.00%,,,,,120,115,1,118,235,0,100.00%
Bjanes,Fashion,Apparel/Fashion,Norway,Europe,24,0.00%,24,0.00%,24,,,,,,1,24,0,24,0.00%
Bjarke Ingels Group,Design & Architectural Services,Construction/Engineering,Denmark,Europe,112,0.00%,112,0.00%,,,,,,112,0,112,112,0,100.00%
bk Group AG,Finance/Investment sector,Financial Services,Switzerland,Europe,450,0.00%,450,0.00%,,,,,450,,1,450,450,0,100.00%
BKK,Travel and Tourism,Travel & Tourism,Thailand,Asia,893,0.00%,54,0.00%,,,54,,,,1,54,0,893,0.00%
BKL,Law/Legal Services,Consulting Services,United States,North America,55,0.00%,55,0.00%,,,,,,55,0,55,55,0,100.00%
BL Innovation Properties Limited,Real Estate,Construction/Engineering,United Kingdom,Europe,481,0.00%,481,0.00%,,,,,481,,1,481,481,0,100.00%
BL Shoreditch,Real Estate,Real Estate,United Kingdom,Europe,"6,250",0.01%,"6,250",0.01%,,,,,,"6,250",0,"6,250","6,250",0,100.00%
Black Professionals In Tech Network (Bptn) Inc,Community,Non-profit/Charity/Government/NGO,Canada,North America,"2,471",0.00%,"2,471",0.00%,"2,471",,,,,,1,"2,471",0,"2,471",0.00%
Black Tomato,Travel,Travel & Tourism,United Kingdom,Europe,520,0.00%,520,0.00%,200,,,,,320,1,260,320,200,61.54%
Blacklane,Transportation/Travel Services,Travel & Tourism,Germany,Europe,"1,800",0.00%,"1,800",0.00%,,,,"1,800",,,1,"1,800",0,"1,800",0.00%
BlackRock,Financial Services,Financial Services,United States,North America,"24,810",0.03%,"24,810",0.04%,,,"5,350","10,000",,"9,460",2,"8,270","9,460","15,350",38.13%
Blair Day,Real Estate,Others,United States,North America,10,0.00%,10,0.00%,,,10,,,,1,10,0,10,0.00%
Blake Kathryn Thomas Ltd.,Art and Design,Others,United States,North America,60,0.00%,60,0.00%,,,60,,,,1,60,0,60,0.00%
Blick Rothenberg,Accounting and Financial Services,Financial Services,United Kingdom,Europe,66,0.00%,66,0.00%,,,,,66,,1,66,66,0,100.00%
Blickle,Manufacturing/Industrial Sector,Construction/Engineering,Germany,Europe,"2,461",0.00%,"2,461",0.00%,,,311,"1,400",750,,3,820,750,"1,711",30.48%
BlocCarbon,Carbon offsetting,Environmental & Sustainability Services,Canada,North America,564,0.00%,564,0.00%,,,,,,564,0,564,564,0,100.00%
Block,Construction or real estate industry,Construction/Engineering,United States,North America,"78,106",0.11%,"78,106",0.12%,,,,"25,000","15,000","38,106",2,"26,035","53,106","25,000",67.99%
BlockTower Capital,Finance/Investment Management,Financial Services,United States,North America,"1,843",0.00%,"1,843",0.00%,,,,,"1,843",,1,"1,843","1,843",0,100.00%
Blomsterlandet,Retail - Garden and Home Decor,Retail,Sweden,Europe,212,0.00%,212,0.00%,,212,,,,,1,212,0,212,0.00%
blooloop,Media and Technology,Technology/Telecommunications,United Kingdom,Europe,15,0.00%,15,0.00%,,,,,15,,1,15,15,0,100.00%
Blue Apron,Food and Beverage,Food and Beverage,United States,North America,"86,667",0.12%,"86,667",0.13%,,,,"74,000","8,603","4,064",2,"28,889","12,667","74,000",14.62%
Blue Cap,Agriculture,Agriculture/Agribusiness/Resources,Germany,Europe,16,0.00%,16,0.00%,,,,16,,,1,16,0,16,0.00%
Blue Tap,Plumbing,Construction/Engineering,United States,North America,15,0.00%,15,0.00%,,,15,,,,1,15,0,15,0.00%
Blue Tree Group,Hospitality and leisure,Travel & Tourism,United States,North America,110,0.00%,110,0.00%,,,,,,110,0,110,110,0,100.00%
Blue World Carbon Asset Management,Financial Services,Financial Services,United States,North America,"96,372",0.13%,"96,372",0.15%,,,,,,"96,372",0,"96,372","96,372",0,100.00%
BlueCove,Technology,Technology/Telecommunications,United States,North America,139,0.00%,139,0.00%,,,,,,139,0,139,139,0,100.00%
Blygold,Investment Management,Financial Services,Netherlands,Europe,23,0.00%,23,0.00%,,,,,23,,1,23,23,0,100.00%
BMC Consulting,Consulting,Consulting Services,United States,North America,20,0.00%,20,0.00%,,,,,,20,0,20,20,0,100.00%
BMI,Health and wellness,Healthcare/Pharmaceuticals,United States,North America,210,0.00%,210,0.00%,,,,210,,,1,210,0,210,0.00%
BMO,Banking,Financial Services,Canada,North America,"12,000",0.02%,"12,000",0.02%,,,,,,"12,000",0,"12,000","12,000",0,100.00%
BMS Group Limited,Finance/Insurance,Financial Services,United Kingdom,Europe,"1,704",0.00%,"1,704",0.00%,,,,,"1,704",,1,"1,704","1,704",0,100.00%
BMW,Automotive,Transportation/Logistics,Germany,Europe,154,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,154,0.00%
BNP Paribas,Banking/Financial Services,Financial Services,France,Europe,"41,910",0.06%,"20,058",0.03%,"14,116","5,942",,,,,2,"10,029",0,"41,910",0.00%
Bodystreet,Fitness and Wellness,Healthcare/Pharmaceuticals,Germany,Europe,59,0.00%,59,0.00%,,,,59,,,1,59,0,59,0.00%
Boehringer Ingelheim,Pharmaceuticals/Healthcare,Healthcare/Pharmaceuticals,Germany,Europe,"58,773",0.08%,"58,773",0.09%,,"15,001","31,623","3,550",750,"7,849",4,"11,755","8,599","50,174",14.63%
Boeing,Aerospace/Defense industry,Construction/Engineering,United States,North America,"241,400",0.33%,"241,400",0.37%,,"35,500",,,,"205,900",1,"120,700","205,900","35,500",85.29%
Boettcher,Science,Others,Germany,Europe,40,0.00%,40,0.00%,,,,,,40,0,40,40,0,100.00%
Boffa Miskell,Environmental consulting,Consulting Services,New Zealand,Oceania,35,0.00%,35,0.00%,,,,,35,,1,35,35,0,100.00%
Boffa Miskell Limited,Architecture/Urban Planning/Landscape Design,Construction/Engineering,New Zealand,Oceania,163,0.00%,163,0.00%,,,,163,,,1,163,0,163,0.00%
Bokningsbolaget,Travel,Travel & Tourism,Sweden,Europe,35,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,35,0.00%
Bokus AB,Retail/ E-commerce,Retail,Sweden,Europe,"1,325",0.00%,"1,325",0.00%,770,,240,315,,,3,442,0,"1,325",0.00%
BONG,Cannabis,Others,Canada,North America,282,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,282,0.00%
Bonnier AB,Media and Publishing,Entertainment/Media/Sports,Sweden,Europe,"99,257",0.13%,"99,257",0.15%,20,40,"99,128",,,69,3,"24,814",69,"99,188",0.07%
Bonum,Health and wellness,Healthcare/Pharmaceuticals,United States,North America,150,0.00%,150,0.00%,,,150,,,,1,150,0,150,0.00%
Bonus Media,Marketing/Advertising,Advertising/Marketing/PR,Sweden,Europe,395,0.00%,395,0.00%,160,,235,,,,2,198,0,395,0.00%
Booking,Travel and hospitality sector,Travel & Tourism,Netherlands,Europe,"114,999",0.15%,"114,999",0.18%,,,,"25,000","60,000","29,999",2,"38,333","89,999","25,000",78.26%
Bookshop,Retail,Retail,United Kingdom,Europe,"2,481",0.00%,"2,481",0.00%,,,,,,"2,481",0,"2,481","2,481",0,100.00%
Bord Bia - The Irish Food Board,Food and Beverage Services,Food and Beverage,Ireland,Europe,"1,656",0.00%,"1,656",0.00%,,,,,,"1,656",0,"1,656","1,656",0,100.00%
Borg & Co,Investment Management,Financial Services,Switzerland,Europe,50,0.00%,50,0.00%,,50,,,,,1,50,0,50,0.00%
Bormioli,Glassware manufacturing,Construction/Engineering,Italy,Europe,"6,794",0.01%,"6,794",0.01%,,,"6,794",,,,1,"6,794",0,"6,794",0.00%
Borough Engineering Services,Engineering Services,Construction/Engineering,United Kingdom,Europe,115,0.00%,115,0.00%,,,,,115,,1,115,115,0,100.00%
BORR Drilling,Energy & Utilities,Energy/Mining/Utilities,Norway,Europe,224,0.00%,224,0.00%,,,,,224,,1,224,224,0,100.00%
Boston Consulting Group,Management Consulting,Consulting Services,United States,North America,"18,000",0.02%,"18,000",0.03%,,,,,"18,000",,1,"18,000","18,000",0,100.00%
Botanica,Beauty and skincare industry,Retail,United States,North America,255,0.00%,255,0.00%,,,,,255,,1,255,255,0,100.00%
Botica Hermogenes Barcia S.A.,Pharmaceuticals,Healthcare/Pharmaceuticals,Spain,Europe,97,0.00%,97,0.00%,,,,,,97,0,97,97,0,100.00%
Botrygg,Real Estate,Construction/Engineering,Sweden,Europe,"2,717",0.00%,"2,717",0.00%,,"1,749",968,,,,2,"1,359",0,"2,717",0.00%
Bottega Veneta,Fashion and Luxury Goods,Apparel/Fashion,Italy,Europe,"1,820",0.00%,"1,820",0.00%,,628,"1,192",,,,2,910,0,"1,820",0.00%
Boutique Camping,"Hospitality, Tourism, Recreation",Travel & Tourism,France,Europe,101,0.00%,101,0.00%,,,10,81,10,,3,34,10,91,9.90%
BoxKnight,"E-commerce, Packaging",Retail,Canada,North America,35,0.00%,35,0.00%,,35,,,,,1,35,0,35,0.00%
Boy Scouts of America,"Non-profit organization, youth development",Non-profit/Charity/Government/NGO,United States,North America,50,0.00%,50,0.00%,,,,50,,,1,50,0,50,0.00%
BP p.l.c.,Energy & Utilities,Energy/Mining/Utilities,United Kingdom,Europe,20,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,20,0.00%
BPhD e. V.,Nonprofit,Non-profit/Charity/Government/NGO,Germany,Europe,21,0.00%,21,0.00%,,,,,,21,0,21,21,0,100.00%
BpiFrance,Finance/Investment,Financial Services,France,Europe,"8,800",0.01%,"4,400",0.01%,"4,400",,,,,,1,"4,400",0,"8,800",0.00%
BQH,Quantity surveyor,Construction/Engineering,New Zealand,Oceania,11,0.00%,11,0.00%,,,,,,11,0,11,11,0,100.00%
Braintec,Technology,Technology/Telecommunications,United States,North America,50,0.00%,50,0.00%,,,,,,50,0,50,50,0,100.00%
Brandelity,Marketing and Branding,Advertising/Marketing/PR,United Kingdom,Europe,20,0.00%,20,0.00%,,,,20,,,1,20,0,20,0.00%
Brandon Rule,Real Estate,Others,United States,North America,10,0.00%,10,0.00%,,,,,10,,1,10,10,0,100.00%
Bravura,Beauty and cosmetics,Retail,United States,North America,104,0.00%,104,0.00%,,,104,,,,1,104,0,104,0.00%
Bray Capital,Financial Services,Financial Services,United Kingdom,Europe,16,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,16,0.00%
Brayton Energy,Energy/Engineering sector,Energy/Mining/Utilities,United States,North America,183,0.00%,183,0.00%,,,183,,,,1,183,0,183,0.00%
Breitling,Luxury watches,Retail,Switzerland,Europe,"2,600",0.00%,"2,600",0.00%,,,,"2,600",,,1,"2,600",0,"2,600",0.00%
Breutel und Huber GbR,Film Production,Entertainment/Media/Sports,Germany,Europe,18,0.00%,18,0.00%,,,,18,,,1,18,0,18,0.00%
Bricks & Lime,Construction,Construction/Engineering,United States,North America,150,0.00%,150,0.00%,,12,78,60,,,3,50,0,150,0.00%
Bridges Israel,Finance,Financial Services,Israel,Middle East,22,0.00%,22,0.00%,,,,,,22,0,22,22,0,100.00%
Bright Products,Consumer Goods,Retail,Sweden,Europe,210,0.00%,210,0.00%,,,,210,,,1,210,0,210,0.00%
Brightly,Technology,Technology/Telecommunications,United States,North America,30,0.00%,30,0.00%,,,,,,30,0,30,30,0,100.00%
Brighton & Hove Albion F.C.,Sports/Entertainment,Entertainment/Media/Sports,United Kingdom,Europe,900,0.00%,900,0.00%,,,,,900,,1,900,900,0,100.00%
Brindabella Christian College,Education,Non-profit/Charity/Government/NGO,Australia,Oceania,300,0.00%,300,0.00%,,,300,,,,1,300,0,300,0.00%
Bristol-Myers Squibb,Pharmaceuticals,Healthcare/Pharmaceuticals,United States,North America,30,0.00%,30,0.00%,,,,,,30,0,30,30,0,100.00%
British Airways,Airline industry,Transportation/Logistics,United Kingdom,Europe,"96,500",0.13%,"96,500",0.15%,,,,,"25,000","71,500",1,"48,250","96,500",0,100.00%
British American Tobacco,Food and Beverage industry,Food and Beverage,United Kingdom,Europe,60,0.00%,60,0.00%,,,,60,,,1,60,0,60,0.00%
British Embassy,Government,Non-profit/Charity/Government/NGO,United Kingdom,Europe,20,0.00%,20,0.00%,,,,,,20,0,20,20,0,100.00%
British Government,Government,Non-profit/Charity/Government/NGO,United Kingdom,Europe,20,0.00%,20,0.00%,,,,20,,,1,20,0,20,0.00%
Broadstone,Real Estate,Others,United Kingdom,Europe,407,0.00%,407,0.00%,,,,53,,354,1,204,354,53,86.98%
Brooks,Apparel & Footwear,Apparel/Fashion,United States,North America,"13,491",0.02%,"13,491",0.02%,"6,840",,,,"6,651",,2,"6,746","6,651","6,840",49.30%
Brooksfield,Real Estate,Real Estate,United States,North America,31,0.00%,31,0.00%,,,,,,31,0,31,31,0,100.00%
Brother,Technology/Office Supplies,Technology/Telecommunications,Japan,Asia,719,0.00%,719,0.00%,,,60,173,244,242,3,180,486,233,67.59%
Brüning´s Scheune Fischerhude,Food and beverage industry,Food and Beverage,Germany,Europe,181,0.00%,181,0.00%,,181,,,,,1,181,0,181,0.00%
Brunswick,Real Estate,Others,United States,North America,75,0.00%,75,0.00%,,75,,,,,1,75,0,75,0.00%
Brussels Airport,Transportation,Transportation/Logistics,Belgium,Europe,"18,332",0.02%,"18,332",0.03%,,,,,,"18,332",0,"18,332","18,332",0,100.00%
Bryden Wood,Architecture and design,Construction/Engineering,United Kingdom,Europe,171,0.00%,171,0.00%,,,,,,171,0,171,171,0,100.00%
BSV Arkitekter,Architecture and design,Construction/Engineering,Sweden,Europe,300,0.00%,300,0.00%,,224,76,,,,2,150,0,300,0.00%
BTM,Transportation and Logistics,Transportation/Logistics,Colombia,South America,14,0.00%,14,0.00%,14,,,,,,1,14,0,14,0.00%
Bucher,Industrial Machinery/Equipment,Construction/Engineering,Switzerland,Europe,140,0.00%,140,0.00%,,,140,,,,1,140,0,140,0.00%
Buckinghamshire Business First,Business/Networking/Consulting,Consulting Services,United Kingdom,Europe,205,0.00%,205,0.00%,,,,,109,96,1,103,205,0,100.00%
Buddle Findlay Limited,Legal Services,Consulting Services,New Zealand,Oceania,254,0.00%,254,0.00%,,,,241,,13,1,127,13,241,5.12%
