Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
CARMA,Market Research and Data Analytics,Consulting Services,Germany,Europe,18,0.00%,18,0.00%,,18,,,,,1,18,0,18,0.00%
CarMax,Automotive Retail,Retail,United States,North America,"13,877",0.02%,"13,877",0.02%,,,,,,"13,877",0,"13,877","13,877",0,100.00%
Carne Global Financial Services Limited,Financial Services,Financial Services,United Kingdom,Europe,114,0.00%,114,0.00%,,,,,114,,1,114,114,0,100.00%
Carnival Coffee,Food and Beverage,Food and Beverage,United States,North America,19,0.00%,19,0.00%,,,,19,,,1,19,0,19,0.00%
CarVal Investors,Private Equity,Financial Services,United States,North America,73,0.00%,73,0.00%,,,73,,,,1,73,0,73,0.00%
CAS,Education,Others,United States,North America,24,0.00%,24,0.00%,,,,,,24,0,24,24,0,100.00%
Casa Nativa,Food and Beverage,Food and Beverage,United States,North America,20,0.00%,20,0.00%,,,,,20,,1,20,20,0,100.00%
Casall,Fitness and activewear industry,Apparel/Fashion,Sweden,Europe,201,0.00%,201,0.00%,,201,,,,,1,201,0,201,0.00%
Casitas Eclipse,Hospitality,Travel & Tourism,Mexico,North America,69,0.00%,69,0.00%,,,,69,,,1,69,0,69,0.00%
Cassini,Aerospace and Defense,Manufacturing/Engineering,United States,North America,"1,843",0.00%,"1,843",0.00%,,,,,,"1,843",0,"1,843","1,843",0,100.00%
Castlepeake Architecture,Architecture,Construction/Engineering,United States,North America,93,0.00%,93,0.00%,,,93,,,,1,93,0,93,0.00%
Castrén & Snellman,Law firm,Consulting Services,Finland,Europe,975,0.00%,975,0.00%,225,750,,,,,2,488,0,975,0.00%
Castro y De la Torre,Fashion/Apparel,Apparel/Fashion,Spain,Europe,812,0.00%,661,0.00%,106,,70,299,186,,4,165,186,626,22.91%
Catalyst,Technology,Technology/Telecommunications,United States,North America,11,0.00%,11,0.00%,,,,,,11,0,11,11,0,100.00%
Catalyst IT,Information Technology,Technology/Telecommunications,New Zealand,Oceania,71,0.00%,71,0.00%,,,,30,41,,2,36,41,30,57.75%
Cathay,Financial Services,Financial Services,Taiwan,Asia,135,0.00%,135,0.00%,,,,,,135,0,135,135,0,100.00%
Cathay United Bank,Banking,Financial Services,Taiwan,Asia,70,0.00%,70,0.00%,,,,,,70,0,70,70,0,100.00%
Causeway Technologies,Technology,Technology/Telecommunications,United Kingdom,Europe,456,0.00%,456,0.00%,,,,,86,370,1,228,456,0,100.00%
CBRE Group Inc,Real Estate,Construction/Engineering,United States,North America,"8,297",0.01%,"5,797",0.01%,,,,,,"5,797",0,"5,797","5,797","2,500",69.87%
CC Artemis Trust PTE Ltd.,Financial Services,Financial Services,Singapore,Asia,140,0.00%,140,0.00%,,,,,,140,0,140,140,0,100.00%
